iter	RMSE
0	22.89596431
1	22.66597636
2	22.44302886
3	22.23049166
4	22.01563152
5	21.81265554
6	21.61455891
7	21.42498032
8	21.23490367
9	21.0637784
10	20.88419924
11	20.71301092
12	20.55022141
13	20.38649134
14	20.22351738
15	20.07794361
16	19.92611211
17	19.78599331
18	19.64510887
19	19.50752548
20	19.37077797
21	19.23308535
22	19.10406682
23	18.98015902
24	18.85989814
25	18.73744396
26	18.62225293
27	18.51112427
28	18.40523352
29	18.29756287
30	18.19400543
31	18.08978885
32	17.99312361
33	17.89127964
34	17.79245876
35	17.70151112
36	17.61292009
37	17.52899615
38	17.45098633
39	17.37185314
40	17.29475698
41	17.22310885
42	17.15139845
43	17.08371481
44	17.01443081
45	16.94406903
46	16.88101942
47	16.81958279
48	16.75601239
49	16.69953256
50	16.64317984
51	16.58769112
52	16.53709485
53	16.48848674
54	16.44121945
55	16.38729161
56	16.33407982
57	16.28361095
58	16.23304822
59	16.19190483
60	16.15382106
61	16.10580355
62	16.06313781
63	16.02373861
64	15.98487574
65	15.94247937
66	15.90725932
67	15.86660538
68	15.83150573
69	15.79837344
70	15.76577118
71	15.72930366
72	15.69975386
73	15.66926362
74	15.64002772
75	15.61313279
76	15.58499367
77	15.54969166
78	15.51976585
79	15.49178677
80	15.4677846
81	15.43930716
82	15.41499287
83	15.38674578
84	15.36120362
85	15.33989267
86	15.3187477
87	15.29300354
88	15.27002334
89	15.25036216
90	15.22920724
91	15.2068852
92	15.1883672
93	15.1696653
94	15.15210804
95	15.13210559
96	15.1188793
97	15.10031936
98	15.08397709
99	15.0676573
100	15.05129048
101	15.03394961
102	15.02029104
103	15.00443465
104	14.98470881
105	14.97095
106	14.95680117
107	14.94064746
108	14.92898087
109	14.91389876
110	14.9021174
111	14.88400615
112	14.87175161
113	14.86015987
114	14.84830696
115	14.8355444
116	14.82319301
117	14.8070081
118	14.7954604
119	14.78377514
120	14.77273804
121	14.75842046
122	14.745166
123	14.73388623
124	14.72460328
125	14.71510575
126	14.70142295
127	14.69061654
128	14.68270068
129	14.67337343
130	14.66399842
131	14.65447896
132	14.64586243
133	14.63706529
134	14.62692261
135	14.61893662
136	14.6092612
137	14.60126979
138	14.59222667
139	14.57886566
140	14.57193211
141	14.56504166
142	14.55789616
143	14.54902543
144	14.5392016
145	14.53269206
146	14.52271203
147	14.51230637
148	14.5059195
149	14.49803904
150	14.48824898
151	14.48146181
152	14.47566264
153	14.46826569
154	14.45982322
155	14.4538882
156	14.44574939
157	14.44049455
158	14.43261152
159	14.42217504
160	14.41589137
161	14.41006093
162	14.40487681
163	14.3953941
164	14.38808928
165	14.38312197
166	14.37858325
167	14.3734311
168	14.36659973
169	14.36119455
170	14.35515051
171	14.34990107
172	14.34408022
173	14.33898939
174	14.33099537
175	14.32477757
176	14.32011222
177	14.31288072
178	14.30741868
179	14.30309935
180	14.29792611
181	14.29396473
182	14.28710596
183	14.28246782
184	14.27826424
185	14.27202538
186	14.26796517
187	14.26507014
188	14.25976828
189	14.2539394
190	14.24868742
191	14.24640517
192	14.24357945
193	14.24062224
194	14.23663286
195	14.23021082
196	14.2265549
197	14.22045253
198	14.21594487
199	14.21076199
200	14.2037939
201	14.20018462
202	14.19771733
203	14.1950007
204	14.19252389
205	14.18800966
206	14.18527585
207	14.18217361
208	14.17587971
209	14.17011706
210	14.16758173
211	14.16310508
212	14.1601828
213	14.15645174
214	14.1538038
215	14.15024057
216	14.14791323
217	14.143395
218	14.14048422
219	14.13831713
220	14.135658
221	14.13234899
222	14.12958841
223	14.12580751
224	14.12263874
225	14.12077484
226	14.11639508
227	14.1148789
228	14.10901625
229	14.1070438
230	14.10356593
231	14.10113408
232	14.0979633
233	14.09501096
234	14.09220997
235	14.09029641
236	14.08747263
237	14.08314638
238	14.07875157
239	14.07551472
240	14.07234664
241	14.06930452
242	14.06720557
243	14.06525306
244	14.0625791
245	14.05859866
246	14.05489366
247	14.05217463
248	14.04921594
249	14.04723653
250	14.04464335
251	14.04155487
252	14.03821243
253	14.03574391
254	14.03229574
255	14.03181401
256	14.03036339
257	14.0277455
258	14.02570653
259	14.02229479
260	14.02060925
261	14.01787867
262	14.01411979
263	14.01288935
264	14.01026347
265	14.00734173
266	14.00386782
267	14.00097355
268	13.99863126
269	13.99677515
270	13.99627398
271	13.99521543
272	13.99144918
273	13.9876724
274	13.98507235
275	13.98459354
276	13.98371653
277	13.98211986
278	13.98016561
279	13.97796981
280	13.97564983
281	13.9735196
282	13.97231898
283	13.96878345
284	13.96681918
285	13.96357084
286	13.96139075
287	13.95952699
288	13.95711065
289	13.95545635
290	13.95213575
291	13.95111599
292	13.94903666
293	13.94688149
294	13.94294131
295	13.94120938
296	13.9394585
297	13.93650256
298	13.93411088
299	13.93174283
300	13.9282544
301	13.92695705
302	13.92522319
303	13.92504419
304	13.9223334
305	13.92045128
306	13.9185926
307	13.91566189
308	13.91343838
309	13.91031772
310	13.90936713
311	13.90609804
312	13.90455937
313	13.90311249
314	13.90134152
315	13.89985629
316	13.89818545
317	13.89649879
318	13.89464831
319	13.89320522
320	13.89093878
321	13.88886052
322	13.88672253
323	13.88587266
324	13.88566789
325	13.88370919
326	13.88210671
327	13.87975878
328	13.8773387
329	13.87615421
330	13.87404095
331	13.87255416
332	13.87056732
333	13.87036213
334	13.86792466
335	13.86649886
336	13.86521329
337	13.86303475
338	13.8611607
339	13.8598436
340	13.85760759
341	13.85517735
342	13.85411284
343	13.85278644
344	13.85040584
345	13.84877155
346	13.84747834
347	13.8460392
