iter	RMSE
0	23.01187441
1	22.89321358
2	22.77585888
3	22.66217679
4	22.54800428
5	22.43667615
6	22.32690388
7	22.2204054
8	22.11182974
9	22.0118756
10	21.90701754
11	21.80590379
12	21.70896725
13	21.60771058
14	21.50866014
15	21.41445851
16	21.31876291
17	21.22527454
18	21.13179508
19	21.04072558
20	20.95044011
21	20.85855581
22	20.76969058
23	20.68418177
24	20.5951714
25	20.51013802
26	20.4296573
27	20.34762288
28	20.26745172
29	20.1841581
30	20.10437021
31	20.02533926
32	19.94706042
33	19.87027433
34	19.79353879
35	19.71791241
36	19.6467481
37	19.57459996
38	19.50624731
39	19.43640633
40	19.36653891
41	19.29909725
42	19.23163374
43	19.16637948
44	19.10161432
45	19.03647264
46	18.97163447
47	18.90844444
48	18.84816094
49	18.78852746
50	18.7284302
51	18.67051071
52	18.61653908
53	18.5597006
54	18.50274718
55	18.44979598
56	18.39162466
57	18.33703763
58	18.28821502
59	18.23444249
60	18.18360063
61	18.1320259
62	18.08057987
63	18.02886132
64	17.98243261
65	17.93436114
66	17.88957262
67	17.84121254
68	17.79323307
69	17.74812173
70	17.70256368
71	17.66148503
72	17.61719058
73	17.57330543
74	17.53313322
75	17.4883064
76	17.44876873
77	17.41265187
78	17.37076268
79	17.33216828
80	17.2933076
81	17.25450842
82	17.21839922
83	17.18104718
84	17.14607428
85	17.10824957
86	17.07325291
87	17.03644671
88	16.99991153
89	16.96617641
90	16.93394864
91	16.90492677
92	16.87012563
93	16.83839775
94	16.80462971
95	16.77290854
96	16.74147813
97	16.71199769
98	16.68236202
99	16.65090359
100	16.61928592
101	16.58974908
102	16.55890629
103	16.52918496
104	16.50087244
105	16.47500086
106	16.44573626
107	16.42047554
108	16.39565434
109	16.37252815
110	16.34788251
111	16.3240271
112	16.30156211
113	16.27922386
114	16.25380064
115	16.2324861
116	16.20708257
117	16.18189955
118	16.16003516
119	16.13840472
120	16.11759937
121	16.09262284
122	16.07147391
123	16.04914049
124	16.03059757
125	16.01097454
126	15.99360579
127	15.97426421
128	15.95422813
129	15.93514293
130	15.91678413
131	15.89871458
132	15.8813717
133	15.86088625
134	15.84345523
135	15.82779274
136	15.8107912
137	15.79086063
138	15.774266
139	15.75756486
140	15.73970803
141	15.72410423
142	15.70492015
143	15.68792924
144	15.67127252
145	15.65586161
146	15.63686975
147	15.62282832
148	15.60959724
149	15.59552633
150	15.58171831
151	15.56843841
152	15.55428451
153	15.54090323
154	15.52578543
155	15.51214909
156	15.49766835
157	15.48538482
158	15.47300529
159	15.45898915
160	15.4471131
161	15.43494577
162	15.42024469
163	15.40733931
164	15.39370621
165	15.38292683
166	15.37195781
167	15.35998454
168	15.34882745
169	15.33692019
170	15.32458256
171	15.311399
172	15.30113001
173	15.29104563
174	15.28064728
175	15.26910928
176	15.25901155
177	15.2483892
178	15.23664531
179	15.22683969
180	15.21664842
181	15.20709231
182	15.19909058
183	15.18956523
184	15.18068521
185	15.17002268
186	15.15921257
187	15.14990626
188	15.14096248
189	15.13244029
190	15.12124733
191	15.10848717
192	15.10084908
193	15.09322858
194	15.08443898
195	15.07429983
196	15.06575982
197	15.05734111
198	15.04870909
199	15.04010268
200	15.03300044
201	15.02490161
202	15.01606583
203	15.00836736
204	15.00126225
205	14.99056717
206	14.9845294
207	14.97802894
208	14.97071482
209	14.96193615
210	14.95473438
211	14.94573748
212	14.93905867
213	14.9311265
214	14.92451611
215	14.91786064
216	14.91088645
217	14.9037018
218	14.89626922
219	14.88934182
220	14.88095263
221	14.87449262
222	14.86789442
223	14.85881853
224	14.85270486
225	14.8466381
226	14.83966424
227	14.83393724
228	14.828111
229	14.82138308
230	14.81413776
231	14.80812706
232	14.8003114
233	14.79428685
234	14.78944797
235	14.78333718
236	14.77683159
237	14.77167514
238	14.76602763
239	14.75919793
240	14.75331519
241	14.74655193
242	14.73946395
243	14.73219762
244	14.72716189
245	14.7219469
246	14.71728958
247	14.71235741
248	14.70785022
249	14.70252417
250	14.69491356
251	14.68831048
252	14.6837132
253	14.67698937
254	14.67164809
255	14.66696038
256	14.66052011
257	14.65621972
258	14.65223174
259	14.64777803
260	14.64317238
261	14.63862807
262	14.63434471
263	14.62974884
264	14.62559048
265	14.61885629
266	14.61393144
267	14.60983598
268	14.60430262
269	14.60021944
270	14.59593785
271	14.59151111
272	14.58731955
273	14.58342511
274	14.57806573
275	14.57406983
276	14.5702552
277	14.56533445
278	14.56160023
279	14.55773183
280	14.55347023
281	14.54989609
282	14.54475324
283	14.53994223
284	14.53504641
285	14.52999632
286	14.52587538
287	14.52240557
288	14.51932472
289	14.51632031
290	14.51171043
291	14.50674122
292	14.50285307
293	14.49852141
294	14.49329249
295	14.48981266
296	14.48481097
297	14.47991387
298	14.47642501
299	14.47213008
300	14.46850465
301	14.46352648
302	14.46074072
303	14.45587268
